Username,Likes,Date,Text
स. बलराज सिंह,0,2023-09-23T18:31:27Z,Kaka ❤
Kisanotube,0,2023-09-23T18:29:13Z,Is bande ki intelligence ka jawab nhi....😮
Tanzeem Bano,0,2023-09-23T18:28:51Z,Aap interview bhut acche se kerte hai faltu acting nhe sab natural
Prashant,2,2023-09-23T18:28:27Z,Pure talent ~ kaka
Sumit Kumar,0,2023-09-23T18:27:53Z,Bhai sahab matlab kya hota hai is tarah k posaak pahnnne k baad v kande par gumakar tauliya( towel) rakhna. Whn a.c nhi h ya garmi ac k baabjud v bhut h .kya matlab h Bhai sahab .
स. बलराज सिंह,0,2023-09-23T18:27:20Z,❤❤❤
Amarjyoti Das,0,2023-09-23T18:26:59Z,Love from Assam..ending badhiya tha guru
Success your mind,0,2023-09-23T18:26:57Z,Oo ho mza aa gya 👏
abhinav shukla,1,2023-09-23T18:26:34Z,"<a href=""https://www.youtube.com/watch?v=E37qXV08ef0&amp;t=5m15s"">5:15</a> <br>He was&quot; Itachi Uchihan &quot;. He is one of the most popular characters in the anime world / manga called &quot;NARUTO &quot;( On Amrita&#39;s T-shirt )"
Ekta,1,2023-09-23T18:25:54Z,Comedy show 😂😂😂😂
Ekta,0,2023-09-23T18:25:38Z,😂😂😂😂😂😂
Bihar Blog,0,2023-09-23T18:25:33Z,Without autotune kya aavaz hai sir ki 🥺
Amrit Randhawa,0,2023-09-23T18:23:49Z,Sirra la gaye Lallantop vale all the best👍💯
Deepak gupta channel,0,2023-09-23T18:22:34Z,काले लड़कों का सुपरस्टार ❤काका ❤
Pramveer singh,0,2023-09-23T18:20:53Z,Apne fav artists nu nhi milna chaida is par me ik bat kehna chahuga …. “ jis din chand ko paa loge us din chand k daag nazar aane lag jaege “
Puneet kumar yadav,0,2023-09-23T18:20:06Z,❤❤❤❤
Shyam Rathor,0,2023-09-23T18:19:20Z,Pehli bat vo cartoon nahi anime h or us anime character ka naam Itachi uchiha
Satinder Sahota,6,2023-09-23T18:18:43Z,"No drugs, no guns , no violence, kaka is pure talent who is shining in punjabi songs"
Ranveer singh deol,0,2023-09-23T18:15:54Z,Panjabi❤️
Er Mukesh choudhary,0,2023-09-23T18:14:39Z,Very funny really
k-kashi,0,2023-09-23T18:08:52Z,"<a href=""https://www.youtube.com/watch?v=E37qXV08ef0&amp;t=5m21s"">5:21</a>  Itachi uchiha"
KAJEL CHETAL,1,2023-09-23T18:08:21Z,He has managed to keep us entertained in whole video
Ashok Malviya,0,2023-09-23T18:07:57Z,Hindi me bolo
MYPOV,0,2023-09-23T18:04:08Z,Bhai anime cartoon ni hai
Yogesh Bhatt,0,2023-09-23T18:03:19Z,last 30 sec or bhai ne puri mehfil loot li❤
Bhakti sagar,0,2023-09-23T18:02:28Z,Accha larka hai.
Sumit Sahgal,0,2023-09-23T18:01:54Z,Jatt da muqabla sidhu moose wala
Atul Bajpai,0,2023-09-23T17:59:38Z,Mein bhilai se hi hu
जोनपुरी ओर जौनसारी culture,0,2023-09-23T17:58:15Z,भाई इस बन्दे को देख के एक न्यू एनर्जी मिल गये.. Jai hind 🇮🇳🇮🇳🙏🙏🙏
satyam singh,0,2023-09-23T17:57:48Z,first time in lallantop video i see cut video
kulvir singh,0,2023-09-23T17:56:06Z,Amazing personality @kaka
Gurdeep Singh,0,2023-09-23T17:55:01Z,Chandu majra sira🤣
Lovepreet Singh,0,2023-09-23T17:54:38Z,Ye Lalantop ka Dohra Chriter hai Kaka ka interview kaise start kiya or celebrity ka kis trah se karte hai.....
Yatharth jain,0,2023-09-23T17:54:25Z,anime ka bhiya anyme krdiye yrr sharm krte
RougE HombrE,0,2023-09-23T17:53:57Z,One of best news channel jaha sach hai kuch naya bus juth nahi i love this channel
RAHUL BOHRA,2,2023-09-23T17:52:26Z,Kaka no need auto tune ......OG artist ❤
Life with Sandhu,1,2023-09-23T17:48:51Z,"<a href=""http://www.youtube.com/results?search_query=%23sidhumoosewala"">#sidhumoosewala</a> 👍"
Himanshu Kashyap,0,2023-09-23T17:46:12Z,abbey uski naukri chali jaegi...
Sonu Laduna,0,2023-09-23T17:45:12Z,ਇਤਫਾਕ ਤੋ comedy show ਹੋ ਗਿਆ
Zuben Khan,0,2023-09-23T17:43:27Z,Kaka cha b meetha thok k te patti rok k peenda tyan rkhio mitro
ABHISHEK,0,2023-09-23T17:42:06Z,Kaka bhai apka  loyal fan  hun ek din jarur milege ap tk pahunchne ke liye success ke raste se aaunga ❤
Mahavir grader lovers,0,2023-09-23T17:41:19Z,😂😂
Mahavir grader lovers,0,2023-09-23T17:41:19Z,😂😂
Ranbir Singh,0,2023-09-23T17:40:59Z,"Bahut hi wadia , bagge bille"
Deepak Kumar,0,2023-09-23T17:37:47Z,mza kr dita vre<br>😘😘😘😘😘😘😘😘😘😘😘😘😘
Amrit Randhawa,0,2023-09-23T17:37:00Z,"kake, billo bagge bille kithe gaye 😜"
Aariv JK02 vlogs,0,2023-09-23T17:34:24Z,"<a href=""https://www.youtube.com/watch?v=E37qXV08ef0&amp;t=5m26s"">5:26</a> itachi ojiha sketch on bro tshirt"
Cricket Club Official,0,2023-09-23T17:34:21Z,Bahut khub closing
Shadab Shaukat Khan,0,2023-09-23T17:32:18Z,"कुछ चेहरों को देख कर आप बस मुस्कुरा देते हैं, काका नामक कलाकार वही हैं।"
Dharmendera_Jatav,0,2023-09-23T17:31:22Z,Kaka ji❤😊
Deep Saini,0,2023-09-23T17:30:19Z,26;25 lines say king moosewala
Aman Saini,0,2023-09-23T17:28:10Z,One of the bestest episode till now
Harvansh Singh,0,2023-09-23T17:26:58Z,"<a href=""http://www.youtube.com/results?search_query=%23moosewal"">#moosewal</a> <a href=""http://www.youtube.com/results?search_query=%23kaka"">#kaka</a> <a href=""http://www.youtube.com/results?search_query=%23shubh"">#shubh</a> <a href=""http://www.youtube.com/results?search_query=%23jxggi"">#jxggi</a> legendary singer of Punjab Punjabi ❤🎉"
Amir Ali 01,2,2023-09-23T17:26:24Z,"Give him chair respect everybody he is so good artist, so good singer"
Life with Sandhu,1,2023-09-23T17:26:14Z,Punjabi music industry ese he ni top par hai ..eske Karn ik he bhut sari mehnat Punjabi singers ki ...
Amir Ali 01,0,2023-09-23T17:25:20Z,"Why, nobody give it to him chair?"
Hs Samra,0,2023-09-23T17:23:32Z,"ਬਿਜਲੀ ਬੋਰਡ ਵਾਲਾ ਵੀਰਾ is also a highlight 😂😂😂 <a href=""https://www.youtube.com/watch?v=E37qXV08ef0&amp;t=6m15s"">6:15</a>"
warrior of planet,0,2023-09-23T17:19:58Z,Kaka ❤❤❤❤❤❤❤
Sachin Sood,0,2023-09-23T17:18:29Z,"The Legend one &amp; only,Greatest of all time in all aspects of Life <a href=""http://www.youtube.com/results?search_query=%23sidhumoosewala"">#sidhumoosewala</a> will be missed forever☹️"
krish singh,0,2023-09-23T17:16:26Z,Waah
Sonu Laduna,0,2023-09-23T17:16:14Z,Punjabi gaane to Punjabi hote hai  i am proud to punjab se hu🎉
jagdeep singh,0,2023-09-23T17:16:07Z,Tusi Punjab dso ki kre kyre
indrajit singh,1,2023-09-23T17:14:24Z,I waana really thanks to Lalllan Top this type of office atmosphere without all team work as real cool.. Every industry must learn from Lallanantop to creat this work atmosphere... By this depression free country need... Not like to whole world where all most are in depression...
Rajinder Singh,0,2023-09-23T17:11:31Z,My district  fatheghar sahib 🙏🙏🙏🙏🙏🙏🙏
